id,town,belowPoverty,percentBelow
4400105140,Barrington,375,2.3
4400109280,Bristol,1699,8.9
4400173760,Warren,1172,11.4
4400318640,Coventry,2453,7.1
4400322240,East Greenwich,513,3.9
4400374300,Warwick,5598,6.9
4400377720,West Greenwich,146,2.4
4400378440,West Warwick,4690,16.4
4400500000,Newport County,-,-
4400536820,Jamestown,356,6.5
4400542400,Little Compton,352,10.1
4400545460,Middletown,1448,9.2
4400549960,Newport,2876,13.3
4400557880,Portsmouth,1168,6.8
4400570880,Tiverton,1092,6.9
4400711800,Burrillville,1829,11.6
4400714140,Central Falls,6196,32.7
4400719180,Cranston,7915,10.3
4400720080,Cumberland,2396,7
4400722960,East Providence,4988,10.8
4400727460,Foster,222,4.8
4400730340,Glocester,374,3.8
4400737720,Johnston,2307,8.1
4400741500,Lincoln,2027,9.5
4400751760,North Providence,3193,10
4400752480,North Smithfield,385,3.2
4400754640,Pawtucket,14107,19.9
4400759000,Providence,46678,28.2
4400764220,Scituate,698,6.7
4400766200,Smithfield,673,3.7
4400780780,Woonsocket,10190,25.1
4400914500,Charlestown,623,8
4400925300,Exeter,754,11.4
4400935380,Hopkinton,406,5
4400948340,Narragansett,2544,16.3
4400950500,New Shoreham,71,8
4400951580,North Kingstown,2078,8
4400961160,Richmond,321,4.2
4400967460,South Kingstown,2668,10.5
4400977000,Westerly,2580,11.5
